x,y
0.007559933,0.494035463
0.381290446,0.482974007
0.755020959,0.471531705
1.128751472,0.459747682
1.502481986,0.448258153
1.876212499,0.432423123
2.249943012,0.424433855
2.623673525,0.410532661
2.997404039,0.396558185
3.371134552,0.383569984
3.744865065,0.369035666
4.118595578,0.355999225
4.492326092,0.340236044
4.866056605,0.324305715
5.239787118,0.30994588
5.613517631,0.295040515
5.987248145,0.276398411
6.360978658,0.263808216
6.734709171,0.246810543
7.108439684,0.231215845
7.482170198,0.216318162
7.855900711,0.199436646
8.229631224,0.186338185
8.603361737,0.168847036
8.977092251,0.15340588
9.350822764,0.139562604
9.724553277,0.125790161
10.09828379,0.114438915
10.4720143,0.098709988
10.84574482,0.085940508
11.21947533,0.074822933
11.59320584,0.064970254
11.96693636,0.055891395
12.34066687,0.046136227
12.71439738,0.037479803
13.0881279,0.030407032
13.46185841,0.024734762
13.83558892,0.019696342
14.20931944,0.015768028
14.58304995,0.011530064
14.95678046,0.008566985
15.33051098,0.006365378
15.68725374,0.004796171
16.02700875,0.003594817
16.31580051,0.002441873
16.55362902,0.001780144
16.79145753,0.001292317
17.02928604,0.000944083
17.26711454,0.000686805
17.50494305,0.000498594
17.74277156,0.000362719
18.01457557,0.000256193
18.21842858,0.000177656
18.43926934,0.000125773
18.64312234,9.02296E-05
18.84697535,6.44155E-05
19.05082836,4.64381E-05
19.25468136,3.33148E-05
19.45853437,2.37836E-05
19.66238738,1.7146E-05
19.83226489,1.26509E-05
20.01604146,9.04661E-06
20.00214239,4.93483E-06
20.00214239,3.57501E-06
20.00214239,2.58989E-06
20.00214239,1.87623E-06
20.00214239,1.35923E-06
20.00214239,9.85E-07
20.00214239,7.24E-07
