x,y
0.255212287,0.436915196
0.611646631,0.422720901
1.271050167,0.413201322
1.609662794,0.412026548
3.267082492,0.385909654
3.659160271,0.382330467
4.051238049,0.372561502
4.412764312,0.358082661
5.12054108,0.331771139
5.491232798,0.317259236
5.797766333,0.307302042
6.550238837,0.28160868
6.965088809,0.263508309
7.544294618,0.245721863
8.102708423,0.223396915
8.524489063,0.201633683
9.048447549,0.174680071
9.611613812,0.150112364
10.07497846,0.128221009
10.43650472,0.102144653
10.88764876,0.075719238
11.40566668,0.054010054
11.77249702,0.042000091
12.05318907,0.034118156
12.44526684,0.022514183
12.61754344,0.018376058
12.97991836,0.012195398
13.15813553,0.01000122
13.51456988,0.006790295
13.71060877,0.005453533
13.99575624,0.003831349
14.1561517,0.00291506
14.29872543,0.002269004
14.48288318,0.001655753
14.65515978,0.001212843
14.79773351,0.000925416
15.18981129,0.000441414
15.33238503,0.000336805
15.45713705,0.000272821
15.72446281,0.000169583
15.86703655,0.000130133
15.97396685,0.000107839
1.918091082,0.407757694
2.246401524,0.402445869
2.738867187,0.38692198
12.79337447,0.015371969
14.90687295,0.000763212
15.00946996,0.000618771
15.09154757,0.000514997
15.56349383,0.00022842
15.62505204,0.000200349
