x,y
2.903027646,0.633401448
3.303183549,0.618761524
3.676914063,0.599293391
4.031769298,0.541754638
4.424375089,0.565932097
4.798105602,0.543762885
5.171836116,0.524554084
5.545566629,0.505350258
5.919297142,0.464673051
6.293027655,0.460360487
6.666758169,0.435312732
7.040488682,0.411627801
7.414219195,0.389231543
7.787949708,0.362700324
8.161680222,0.342053697
8.535410735,0.314102064
8.909141248,0.28805061
9.282871761,0.26415985
9.656602275,0.241928106
10.03033279,0.221272453
10.4040633,0.193935193
10.77779381,0.170428761
11.15152433,0.149771489
11.52525484,0.131267865
11.89898535,0.114134449
12.27271587,0.097015405
12.64644638,0.0789177
13.02017689,0.064711145
13.39390741,0.053132744
13.76763792,0.043106124
14.14136843,0.035111645
14.51509895,0.025572315
14.88882946,0.019051241
15.26255997,0.014174182
15.63629049,0.010531598
15.99303325,0.007980375
16.29881276,0.005624666
16.57061677,0.004112243
16.84242078,0.003028604
17.11422479,0.002222365
17.3860288,0.001627769
17.65783281,0.001198827
17.96361232,0.000842476
18.19124818,0.000629859
18.38830608,0.000469229
18.62613459,0.000336391
18.8639631,0.000240655
19.10179161,0.000172526
19.33962012,0.000123425
19.57744863,8.84839E-05
19.78130163,6.63959E-05
20.02592524,4.74237E-05
20.2059954,3.30716E-05
20.39286066,2.36678E-05
20.56273816,1.73481E-05
20.73261567,1.26787E-05
20.90249317,9.26614E-06
21.07237068,6.79195E-06
21.24224819,4.96383E-06
21.41212569,3.6491E-06
21.5820032,2.66691E-06
21.7518807,1.94338E-06
22.00669696,1.29069E-06
21.96705888,1.16825E-06
22.00669696,7.56E-07
2.677795405,0.647340437
2.191852599,0.633915412
1.973178336,0.633915412
