x,y
0.01677153,0.752129604
0.380798777,0.723715079
1.773809709,0.665809583
2.487303113,0.642967756
2.861037753,0.626959798
3.234772393,0.611943502
3.608507034,0.597286861
3.982241674,0.551632595
4.355976314,0.560801555
4.729710954,0.539465683
5.103445594,0.519948951
5.477180235,0.501138294
5.850914875,0.471897028
6.224649515,0.457478758
6.598384155,0.433298707
6.972118795,0.408807932
7.345853435,0.386075613
7.719588076,0.36249216
8.093322716,0.339360633
8.467057356,0.313725309
8.840791996,0.288064477
9.214526636,0.264759158
9.588261277,0.243339313
9.961995917,0.221494128
10.33573056,0.196590558
10.7094652,0.172970835
11.08319984,0.15204144
11.45693448,0.133644492
11.83066912,0.116227173
12.20440376,0.100298678
12.5781384,0.080951416
12.95187304,0.06616502
13.32560768,0.054131938
13.68235438,0.044710119
14.03910108,0.03634733
14.37885985,0.027856692
14.68464273,0.021925832
14.99042562,0.017196436
15.29620851,0.01348717
15.6019914,0.010615669
15.92476222,0.008120005
16.15126806,0.006612733
16.33247274,0.005204071
16.536328,0.00410095
16.74018325,0.00322592
16.94403851,0.0025241
17.14789377,0.00198906
17.35174903,0.001567433
17.55560429,0.001226428
17.75945955,0.000966459
18.00068827,0.000722007
18.16717006,0.000568988
18.35403738,0.000446787
18.52391676,0.000353334
18.69379615,0.000280026
18.86367553,0.000221927
19.03355491,0.000175507
19.20343429,0.000139094
19.37331367,0.00011
19.54319306,8.71775E-05
19.71307244,6.89429E-05
19.86596388,5.4312E-05
20.01885533,4.54695E-05
20.00186739,3.27448E-05
0.709238998,7.25E-01
1.122294945,0.714023317
1.38956644,0.714023317
